,user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay
61,69,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
62,70,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
63,71,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
64,72,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
65,73,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
66,74,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
67,75,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
68,76,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
69,77,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
70,78,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
71,79,36,OffSeason,[2-3],Standard,[160-260],[1-1],False
72,80,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
73,81,37,OffSeason,[4-7],Standard,[160-260],[1-1],True
74,81,37,OffSeason,[4-7],Standard,[160-260],[1-1],True
75,81,37,OffSeason,[4-7],Standard,[160-260],[1-1],True
76,82,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
77,83,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
78,84,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
79,85,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
80,86,33,OffSeason,[2-3],Standard,[260-360],[2-2],True
81,86,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
82,87,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
83,1,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
84,1,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
85,89,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
86,90,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
87,91,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
88,92,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
89,93,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
90,94,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
91,95,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
92,97,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
93,98,38,OffSeason,[8-inf],Standard,[160-260],[2-2],True
94,99,30,OffSeason,[4-7],Standard,[260-360],[3-4],True
95,100,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
96,101,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
97,102,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
98,103,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
99,104,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
100,105,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
101,106,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
102,107,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
103,108,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
104,109,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
105,110,32,OffSeason,[2-3],Standard,[160-260],[5-inf],True
106,110,32,OffSeason,[2-3],Standard,[160-260],[5-inf],True
107,110,32,OffSeason,[2-3],Standard,[160-260],[5-inf],True
108,111,37,OffSeason,[4-7],Standard,[160-260],[1-1],True
109,112,39,OffSeason,[2-3],Standard,[260-360],[1-1],True
110,113,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False
111,119,40,WinterVacation,[2-3],Standard,[260-360],[2-2],False
112,121,41,WinterVacation,[4-7],Standard,[160-260],[3-4],False
113,126,3,WinterVacation,[4-7],Standard,[160-260],[3-4],True
114,128,42,WinterVacation,[2-3],Standard,[160-260],[2-2],True
115,134,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
116,146,42,WinterVacation,[2-3],Standard,[160-260],[2-2],True
117,149,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
118,150,43,WinterVacation,[4-7],Standard,[160-260],[1-1],True
119,156,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
120,173,44,WinterVacation,[0-1],Standard,[160-260],[1-1],True
121,225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
122,313,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
123,356,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False
124,412,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
125,442,45,WinterVacation,[8-inf],Standard,[160-260],[3-4],True
126,471,46,WinterVacation,[0-1],Standard,[160-260],,False
127,472,43,WinterVacation,[4-7],Standard,[160-260],[1-1],True
128,473,47,Easter,[2-3],Nonref,[160-260],[3-4],True
129,474,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
130,475,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
131,476,48,HighSeason,[4-7],Standard,[160-260],[5-inf],True
132,477,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
133,479,50,HighSeason,[2-3],Standard,[160-260],[3-4],False
134,480,51,OffSeason,[2-3],Nonref,[160-260],[2-2],False
135,481,52,OffSeason,[0-1],Standard,[160-260],[2-2],True
136,482,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
137,483,32,OffSeason,[2-3],Standard,[160-260],[5-inf],True
138,485,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
139,486,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
140,487,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
141,488,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
142,489,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
143,490,54,OffSeason,[4-7],Nonref,[160-260],[2-2],True
144,491,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
145,492,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
146,493,55,OffSeason,[2-3],Nonref,[160-260],[3-4],False
147,494,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
148,495,56,OffSeason,[0-1],Nonref,[160-260],[5-inf],False
149,496,57,Easter,[2-3],Standard,[160-260],[5-inf],True
150,497,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
151,498,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
152,499,54,OffSeason,[4-7],Nonref,[160-260],[2-2],True
153,501,54,OffSeason,[4-7],Nonref,[160-260],[2-2],True
154,502,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
155,503,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
156,504,59,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
157,507,60,OffSeason,[8-inf],Standard,[0-160],[2-2],True
158,508,61,HighSeason,[4-7],Standard,[0-160],[2-2],False
159,509,62,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
160,510,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
161,511,64,MayLongWeekend,[4-7],Nonref,[160-260],[2-2],True
162,512,65,WinterVacation,[4-7],Standard,[160-260],[2-2],True
163,514,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
164,515,67,HighSeason,[4-7],Standard,[160-260],[3-4],True
165,516,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
166,517,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
167,518,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
168,520,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
169,521,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
170,522,54,OffSeason,[4-7],Nonref,[160-260],[2-2],True
171,523,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
172,524,5,Easter,[4-7],Standard,[260-360],[5-inf],True
173,525,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
174,526,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
175,528,26,Easter,[2-3],Standard,[160-260],[3-4],True
176,529,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
177,530,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
178,531,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
179,532,54,OffSeason,[4-7],Nonref,[160-260],[2-2],True
180,533,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
181,534,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
182,535,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
183,536,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
184,537,34,OffSeason,[2-3],Standard,[160-260],[3-4],False
185,538,69,Easter,[2-3],Standard,[160-260],[2-2],True
186,539,26,Easter,[2-3],Standard,[160-260],[3-4],True
187,540,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
188,541,70,HighSeason,[8-inf],Nonref,[160-260],[3-4],True
189,542,71,OffSeason,[4-7],Nonref,[0-160],[2-2],True
190,543,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
191,544,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
192,545,72,OffSeason,[4-7],Nonref,[160-260],[3-4],True
193,546,54,OffSeason,[4-7],Nonref,[160-260],[2-2],True
194,547,73,MayLongWeekend,[2-3],Nonref,[0-160],[2-2],True
195,548,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
196,549,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
197,550,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
198,551,34,OffSeason,[2-3],Standard,[160-260],[3-4],False
199,552,74,OffSeason,[4-7],Nonref,[160-260],[2-2],False
200,553,75,HighSeason,[2-3],Nonref,[160-260],[3-4],True
201,554,30,OffSeason,[4-7],Standard,[260-360],[3-4],True
202,555,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
203,556,76,HighSeason,[2-3],Standard,[0-160],[2-2],True
204,558,77,HighSeason,[4-7],Nonref,[0-160],[2-2],True
205,559,78,HighSeason,[2-3],Nonref,[260-360],[5-inf],True
206,560,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
207,561,79,OffSeason,[4-7],Standard,[0-160],[2-2],True
208,563,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
209,564,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
210,565,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
211,567,80,HighSeason,[2-3],Nonref,[160-260],[3-4],False
212,568,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
213,569,81,OffSeason,[0-1],Nonref,[260-360],[5-inf],True
214,570,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
215,571,82,HighSeason,[4-7],Standard,[160-260],[2-2],True
216,572,83,LowSeason,[4-7],Standard,[0-160],[2-2],True
217,573,71,OffSeason,[4-7],Nonref,[0-160],[2-2],True
218,574,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
219,575,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
220,576,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
221,577,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
222,578,72,OffSeason,[4-7],Nonref,[160-260],[3-4],True
223,579,85,HighSeason,[4-7],Nonref,[160-260],[2-2],True
224,580,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
225,581,86,LowSeason,[2-3],Nonref,[260-360],[5-inf],False
226,582,87,OffSeason,[2-3],Standard,[0-160],[2-2],False
227,583,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
228,584,88,LowSeason,[4-7],Nonref,[260-360],[3-4],True
229,585,37,OffSeason,[4-7],Standard,[160-260],[1-1],True
230,587,89,OffSeason,[4-7],Nonref,[0-160],[2-2],False
231,588,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
232,589,90,Easter,[4-7],Standard,[160-260],[3-4],True
233,590,91,HighSeason,[2-3],Nonref,[0-160],[2-2],True
234,571,82,HighSeason,[4-7],Standard,[160-260],[2-2],True
235,591,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
236,592,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
237,593,62,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
238,594,30,OffSeason,[4-7],Standard,[260-360],[3-4],True
239,595,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
240,596,92,OffSeason,[8-inf],Standard,[160-260],[3-4],True
241,597,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
242,598,93,OffSeason,[8-inf],Nonref,[0-160],[2-2],True
243,599,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
244,600,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
245,601,94,OffSeason,[4-7],Nonref,[0-160],[1-1],True
246,602,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
247,603,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
248,604,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
249,605,76,HighSeason,[2-3],Standard,[0-160],[2-2],True
250,607,95,HighSeason,[4-7],Standard,[260-360],[5-inf],True
251,608,96,HighSeason,[4-7],Nonref,[260-360],[5-inf],True
252,519,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
253,609,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
254,610,97,OffSeason,[4-7],Nonref,[160-260],[5-inf],False
255,611,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
256,612,98,LowSeason,[4-7],Standard,[260-360],[5-inf],True
257,614,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
258,617,95,HighSeason,[4-7],Standard,[260-360],[5-inf],True
259,619,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
260,621,99,LowSeason,[4-7],Nonref,[160-260],[5-inf],True
261,622,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
262,624,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
263,625,47,Easter,[2-3],Nonref,[160-260],[3-4],True
264,626,100,Easter,[4-7],Nonref,[160-260],[3-4],False
265,627,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
266,628,101,OffSeason,[4-7],Nonref,[260-360],[5-inf],False
267,629,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
268,630,86,LowSeason,[2-3],Nonref,[260-360],[5-inf],False
269,631,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
270,632,102,MayLongWeekend,[4-7],Nonref,[260-360],[5-inf],True
271,633,103,OffSeason,[8-inf],Standard,[160-260],[1-1],True
272,634,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
273,635,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
274,636,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
275,637,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
276,638,104,Easter,[2-3],Nonref,[260-360],[5-inf],True
277,639,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
278,640,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
279,641,105,OffSeason,[2-3],Nonref,[260-360],[5-inf],False
280,642,106,OffSeason,[4-7],Nonref,[260-360],[3-4],True
281,643,62,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
282,644,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
283,646,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
284,648,107,Easter,[2-3],Standard,[260-360],[3-4],False
285,649,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
286,650,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
287,651,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
288,652,108,WinterVacation,[2-3],Standard,[260-360],[3-4],True
289,653,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
290,654,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
291,655,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
292,656,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
293,657,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
294,658,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
295,659,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
296,660,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
297,661,26,Easter,[2-3],Standard,[160-260],[3-4],True
298,662,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
299,665,109,Easter,[0-1],Nonref,[160-260],[2-2],True
300,669,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
301,670,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
302,671,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
303,672,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
304,673,110,WinterVacation,[2-3],Nonref,[160-260],[3-4],True
305,674,111,WinterVacation,[2-3],Standard,[160-260],[1-1],False
306,675,112,LowSeason,[4-7],Nonref,[160-260],[2-2],True
307,676,65,WinterVacation,[4-7],Standard,[160-260],[2-2],True
308,677,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
309,678,113,Easter,[2-3],Standard,[0-160],[1-1],True
310,679,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
311,680,72,OffSeason,[4-7],Nonref,[160-260],[3-4],True
312,681,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
313,682,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
314,683,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False
315,684,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
316,685,114,OffSeason,[0-1],Nonref,[160-260],[5-inf],True
317,686,21,OffSeason,[2-3],Standard,[160-260],[2-2],False
318,1,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
319,687,115,HighSeason,[4-7],Standard,[260-360],[2-2],True
320,688,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
321,690,43,WinterVacation,[4-7],Standard,[160-260],[1-1],True
322,691,111,WinterVacation,[2-3],Standard,[160-260],[1-1],False
323,692,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
324,693,72,OffSeason,[4-7],Nonref,[160-260],[3-4],True
325,694,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
326,696,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
327,699,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
328,700,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
329,701,55,OffSeason,[2-3],Nonref,[160-260],[3-4],False
330,702,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
331,704,116,WinterVacation,[0-1],Nonref,[160-260],[1-1],False
332,705,117,HighSeason,[8-inf],Standard,[160-260],[2-2],True
333,706,111,WinterVacation,[2-3],Standard,[160-260],[1-1],False
334,707,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
335,708,118,WinterVacation,[0-1],Standard,[0-160],[1-1],False
336,709,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
337,710,119,HighSeason,[2-3],Standard,[160-260],[2-2],False
338,711,120,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True
339,712,121,WinterVacation,[4-7],Nonref,[160-260],[3-4],True
340,713,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
341,714,122,MayLongWeekend,[4-7],Nonref,[0-160],[2-2],True
342,715,34,OffSeason,[2-3],Standard,[160-260],[3-4],False
343,716,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
344,717,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
345,718,59,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
346,719,38,OffSeason,[8-inf],Standard,[160-260],[2-2],True
347,721,123,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
348,722,120,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True
349,723,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
350,727,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
351,728,18,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
352,729,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
353,731,59,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
354,731,59,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
355,732,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
356,733,123,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
357,734,124,WinterVacation,[0-1],Standard,[260-360],[3-4],False
358,735,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
359,736,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
360,737,77,HighSeason,[4-7],Nonref,[0-160],[2-2],True
361,740,30,OffSeason,[4-7],Standard,[260-360],[3-4],True
362,741,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
363,742,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
364,743,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
365,744,73,MayLongWeekend,[2-3],Nonref,[0-160],[2-2],True
366,745,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
367,746,85,HighSeason,[4-7],Nonref,[160-260],[2-2],True
368,747,125,MayLongWeekend,[2-3],Nonref,[160-260],[3-4],True
369,748,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
370,749,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
371,750,126,MayLongWeekend,[2-3],Nonref,[160-260],[2-2],True
372,751,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
373,752,127,Easter,[4-7],Standard,[160-260],[1-1],True
374,753,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
375,754,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
376,755,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
377,756,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
378,757,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
379,758,59,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
380,762,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
381,763,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
382,764,128,WinterVacation,[0-1],Standard,[160-260],[2-2],True
383,765,66,OffSeason,[2-3],Nonref,[0-160],[2-2],True
384,766,129,WinterVacation,[2-3],Nonref,[160-260],[3-4],False
385,767,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
386,769,130,WinterVacation,[0-1],Standard,[160-260],[1-1],False
387,706,103,OffSeason,[8-inf],Standard,[160-260],[1-1],True
388,770,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
389,772,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
390,773,131,MayLongWeekend,[4-7],Nonref,[160-260],[3-4],True
391,774,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
392,775,63,OffSeason,[2-3],Standard,[0-160],[2-2],True
393,776,132,OffSeason,[8-inf],Nonref,[160-260],[2-2],True
394,777,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
395,778,49,OffSeason,[2-3],Nonref,[160-260],[3-4],True
396,779,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
397,780,18,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
398,781,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
399,782,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
400,783,34,OffSeason,[2-3],Standard,[160-260],[3-4],False
401,784,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
402,785,32,OffSeason,[2-3],Standard,[160-260],[5-inf],True
403,786,133,OffSeason,[4-7],Standard,[160-260],[5-inf],True
404,787,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
405,789,22,OffSeason,[2-3],Standard,[160-260],[2-2],True
406,790,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
407,791,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
408,792,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
409,793,134,OffSeason,[8-inf],Standard,[0-160],[1-1],True
410,794,21,OffSeason,[2-3],Standard,[160-260],[2-2],False
411,795,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
